,bassa,french
157,"Sôk i nsôk, njee w’a pôôna? Baa w’a ba kiki minkôt mi tjai, mi mi nkwo isi ngéda man mbebi a nhôñ, tole w’a ba kiki e i i nyégle bitétéé yak ngéda mbuk mbebi a nhôñ?","Alors, à quoi préférerais- tu ressembler : à une feuille morte que la moindre brise soulève ou à un arbre qui résiste aux tempêtes les plus puissantes ?"
158,"Kristen ihogi i nyoñ ngandak ngéda inyu hol i pes mbuu, nlélém kiki matam ma e momasôna ma nhôlôl bé hilo hiada.","Dans la congrégation, certains chrétiens ont besoin de plus de temps pour parvenir à la maturité spirituelle, tout comme sur un arbre certains fruits mûrissent plus lentement que d’autres."
159,"Ilole u ntéé ngim yigil i Bibel, toñ sômbôl i Yéhôva ni njel masoohe.","Avant d’arrêter un cours biblique, prie Jéhovah pour qu’il te guide."
160,"Kunda yada, nyuu i mbôdôl sal inyu kit matjél, yibil minkañ, mélés mbabaa, ni lédés nsôn.","Le corps entre aussitôt en action pour arrêter le saignement, dilater les vaisseaux sanguins, réparer la blessure et renforcer les tissus."
161,"I ngéda Éliézer ni ba bagwélél bape ba bi pam i Haran, ba bi telbene i bee malép inyule Éliézer a bé yi le bôt ba bé bebee ni lo i ap malép.","En arrivant à Harân, il s’arrête à un puits, avec les autres serviteurs, parce qu’il sait que des gens vont bientôt venir y chercher de l’eau."
162,Ndi hihéga hilam hipe hon di ga wan nano. Liwanda ipôla David bona Yônatan.,"Mais nous allons nous arrêter sur un autre exemple remarquable d’amitié, celui de David et de Yonathân."
163,Kiñe Artaserses a ntéé maoñ,Le roi Artaxerxès fait arrêter la construction
164,"I bi mbéda me le me telep, me yoñ ngéda i tehe lelaa Ngand Pasa i yé mbañ i mbuma ñañ!",J’ai dû m’arrêter pour méditer sur cet incroyable repas prophétique de la Pâque !
165,"Hilo 23 hi sôñ Kondoñ hi nwii 1962, mbus likoda li ndôn, bisônda bi bi gwel me ni nsañal nu loñ ipe le Andrew D’Amico i hikuu hi loñ, bi kadal ki 23 minkuu mi ba Tôde ’ilo!","Le 23 janvier 1962, juste après l’assemblée, Andrew D’Amico, qui était missionnaire, et moi avons été arrêtés au Béthel. Le stock des Réveillez-vous !"
166,Ndi me bééna bé ngôñ le yom yo ki yo i boñ me le me téé nson wem u nsañal.,Mais je ne voulais pour rien au monde arrêter mon service de pionnier.
167,"Kunda yada mañge a telep, su wé u ñunda le jam li yé téñga nye.","Soudain, le petit garçon s’arrête, l’air perturbé."
168,"Hiki kel, me bééna lem i yén ikété témpel inyu niiga, ndi ni bi gwel bé me.","Tous les jours j’étais assis dans le Temple en train d’enseigner, et pourtant vous ne m’avez pas arrêté."
169,Di béñge ndék mam malam le Yéhôva a mboñ ni njel bagwélél bé to hala kii ba yé bikwéha bi bôt.,Arrête- toi sur quelques-unes des choses extraordinaires que Jéhovah accomplit par l’intermédiaire de ses serviteurs imparfaits mais volontaires.
170,"Ngéda ntôñ Sadukai u bi yéñ sôña bo i niiga i jôl li Yésu, baôma ba bi tjél boñ hala.","Par exemple, quand les Sadducéens se sont opposés à eux, ils n’ont pas voulu arrêter de prêcher en son nom ."
171,Ngéda i bé bebee ni kola le Yésu a gwéla.,Jésus allait très bientôt être arrêté.
172,"A bi kal nye le a tééne bo likalô, a béhe ki bo, le ba waa boñ mam mabe.",Il lui a demandé de prêcher aux habitants de Juda et de leur dire d’arrêter de faire des choses mauvaises.
173,"Ngéda Yésu bo Pétrô ba bi jôp i môñgô, i nlélém ngéda, mbuk mbebi a mom nwee.",Jésus et Pierre sont montés dans le bateau et la tempête s’est tout de suite arrêtée.
174,Yérémia a bi waa bé pot i jôl li Yéhôva,Jérémie n’a jamais arrêté de parler de Jéhovah
175,"Ñ, nwaa le bikééhene bi mbôdôl, ba bi mal kéés Yésu, ba pémés ki nye mbagi nyemb!","Et quelques jours plus tôt, les autorités religieuses ont conspiré pour arrêter Jésus et le tuer ."
176,Bayitjôdôt ba noñ hiôdôt letee hi ntelep i ngii ndap het Yôsep bo Maria ba niñ nano ni man wap.,"Les astrologues la suivent jusqu’à ce qu’elle s’arrête, juste au-dessus de la maison où Joseph et Marie vivent à présent avec leur jeune fils."
177,"Ndi ibale u nwas le njôô i tinde we i tjôô Yéhôva, u ga léba le mut to wada a ta bé le a tôñ toi we iloo bagwal boñ, ba ba nkon Yéhôva woñi, yak ni likoda joñ.","Mais si tu arrêtes de servir Jéhovah, tu te rendras vite compte que personne au monde ne t’aime plus que tes parents chrétiens et ta congrégation."
178,"Nsoñgol wada a nkal le: Me bi nol hiol ngéda me bi añ ñañ u Marta inyule me ni nye, di yé nlélém! Me ngwés me leege bakén. Ndi ngim mangéda, me yé me hôya le i mbéda le me nwas bibôlô gwem inyu kwel ni bakén bem.","À propos de celui sur Marthe, une lectrice a écrit : J’ai ri quand je l’ai lu parce que je suis exactement comme Marthe ! Je veux toujours bien recevoir mes invités, du coup, j’oublie parfois de m’arrêter et d’apprécier leur compagnie."
179,"I SEM KWEP: U lôôha bañ yigye mandutu bôt ba mboma, ndi yigye mam ma nla hôla bo i yémbél mo, mam ma nti bo ngui ni botñem.","RÉSUMÉ : Arrête- toi sur les solutions plutôt que sur les problèmes, et sur des idées qui pousseront tes auditeurs à l’action."
180,"Ibale yak we u mboma nlélém jam, badba le: ‘Baa nlô wem a mbat me le me waa bégés Yéhôva?","Si tu es dans une situation semblable, demande- toi : Mon conjoint exige- t- il que j’arrête d’adorer Jéhovah ?"
181,"Ndi, a bi téé nson u makiiña inyu tééda mut wé lihaa wada nu a bé kon, nano a yé ntéé likalô ikété likoda.",Mais il a dû arrêter pour s’occuper d’un proche malade.
182,"Lôk Farisai i bé oo Yésu, i yéñék manjel i gwel nye.",Les pharisiens détestaient Jésus et ils cherchaient une raison pour l’arrêter.
183,"Yésu a yé bebee i nwas le ba gwel nye, inyu hala nyen a ntoñol le: Lelaa ni mam mana ma ga bôña inyu yônôs jam Bitilna bi bi kal?","Il accepte de plein gré d’être arrêté, comme il l’explique : Comment s’accompliraient les Écritures, qui disent que cela doit se passer ainsi ?"
184,Bôt bape ba bé yi minsômba David a bi boñ inyu nol Uria.,Certains savaient que David s’était arrangé pour qu’Ouriya soit tué.
185,"Ndi ibôdôl i mamélél ma Gwét bi Ntôla II, bôt ba binam ba nigil bé i keñgle gwét.","Et depuis, les choses ne se sont pas arrangées !"
186,"Jon, inyu yônôs nson wés likalô, di bi noñ mbén i, di ban-ga botñem le mahéñha m’a bôña.","Alors, pour que la prédication puisse s’effectuer, nous obéissions aux lois, en espérant que les choses finiraient par s’arranger."
187,"Kiki i ba ngéda Bibel i tilbana, mabii bagwal ba ñat, ma mbéna ke loñge.","Les mariages arrangés sont souvent des réussites, comme c’était déjà le cas aux temps bibliques."
188,"Jon i pada i, i bi tjek mam ni bisop le me témb i siksa i Saragôsa.",Il s’est arrangé avec le diocèse pour que je retourne au couvent de Saragosse.
189,"Ndi, ba nyéñ hôla bet ba gwé mindañ le ba noñ matiñ ma Bibel, ba sangal ki ndañ wap ikété nsañ.","Par contre, ils s’efforcent d’aider toutes les personnes concernées à mettre en application les Écritures et à tomber d’accord sur un arrangement amiable."
190,Ngandak biloñ i gwé lem i nwas le bagwal bon ba pohol sobiina inyu lok yap tole inyu ngond yap.,"Dans certaines cultures, les mariages sont arrangés par les familles : ce sont les parents qui choisissent le conjoint de leur fils ou de leur fille."
191,Ngandak i ntehe libii kiki jam li li yé ndigi inyu ndék ngéda.,"Pour beaucoup de nos contemporains, le mariage est un arrangement temporaire."
192,Bimbe biniigana di nla ôt ikété Bibel mu kii bagwal ba mpohol sobiina inyu bon bap?,Qu’est- ce que la Bible nous apprend à propos des mariages arrangés ?
193,"Me bé ki me ngwés me mbôñgôl mbônji i i bé i ndap base, ni bititii bi Maria ni bi bapubhaga.",J’aimais arranger les fleurs de l’église et habiller les statues de la vierge et des saints .
194,Ba bi kal le ngôk u tinde ngim añgel,Ils ont dit qu’un ange enflé d’arrogance
195,"Yéhôva a nsayap suhulnyu, ndi a nkogse mut ngôk:",Jéhovah bénit l’humilité et punit l’arrogance :
196,"I bôt ba ntoo i pes minsôn, tole i bet ba nkôs mbegee ikeñi bon ba gwé ngôñ tôbôtôbô i tjél ba ngôk to pamal",Ceux qui connaissent la réussite ou qui reçoivent plus de responsabilités doivent particulièrement se méfier de l’orgueil et de l’arrogance.
197,"Yéhôva a nsayap suhulnyu, ndi a nkogse mut ngôk",Jéhovah bénit l’humilité et punit l’arrogance
198,Lelaa a ñunda le a yé ngôk?,b) Comment son arrogance s’exprime- t- elle ?
199,Matiñ ma Bibel ma nla hôla we i nôgôl i bet ba gwé kunde i ngii yoñ.,Les principes de la Bible peuvent t’aider à obéir à ceux qui détiennent une autorité.
200,"Ba nyoñ tas i ngii bisitima bi nlo libôñ, ni ipañ bôt ba nyuñga ba nkil minloñ ni kamél, ni i ngii gwom bi nyuñga bi njôp i nkoñ.","Ces hommes collectent l’impôt pour les autorités romaines, tant détestées : ils taxent les bateaux qui s’arrêtent dans les ports, les caravanes qui circulent sur les axes principaux et les importations."
201,Isañ mbai nu a yé kristen a nigle Yésu ngeñ i pam i gwélél kunde a gwé ngii man wé,Un père chrétien imite la manière dont Christ exerce l’autorité.
202,A ñénél ni telepsép i yôni.,Il exerce son autorité avec une justice parfaite.
203,Lelaa boñge ba nla unda le ba ndiihe kunde i bagwal i ngii yap?,Comment les enfants peuvent- ils montrer qu’ils respectent l’autorité ?
204,Yéhôva a ñénél ni gwéha.,Jéhovah exerce son autorité avec amour.
206,Bimbe bisai di nkôhna ngéda di nti bôt lipém?,"Si nous témoignons le respect qui convient envers l’autorité, quels bienfaits peuvent en résulter ?"
207,Yéhôva a gwé yak kunde i téé bôt bape kiki baane.,Il a aussi l’autorité d’établir des dirigeants.
208,"Béba i mut binam ni libak li kwéha li bi bôdôl behee behee, muu i wom Eden ngéda Adam bo Eva ba bi kolba énél i Djob.","Le péché et l’imperfection des humains remontent à un passé lointain, à l’époque où, dans le jardin d’Éden, Adam et Ève se sont rebellés contre l’autorité de Dieu."
209,Di ñunda le di nti ngomén lipém ngéda di nôgôl mambén ma loñ.,Nous montrons notre respect pour ces autorités en nous conformant aux lois du pays.
210,Balôm ba nlama ti Yésu Kristô nu a yé ño wap lipém. Ba mboñ hala i ngéda ba nkôna lelaa Yésu a ñénél likoda.,Le mari témoigne du respect pour son Chef Christ Jésus en imitant la manière dont Jésus exerce l’autorité sur la congrégation .
212,Lelaa di nla unda le di ndiihe kunde i i yé ngii yés ikété likoda?,Comment pouvons- nous montrer que nous respectons l’autorité dans l’assemblée ?
213,", 5. Kiki munlôm nyen a yé ño u lihaa, nson wé u yé le kii?",", 5. a) Comment une femme doit- elle considérer l’autorité de son mari ?"
214,"I ma pam le ngomin a kit le disii di boñge di mbôk mbén i loñ, inyule ba mboñ sexting.","Dans certains pays, des adolescents qui avaient envoyé des sextos ont été accusés par les autorités de délinquance sexuelle."
215,"Ngeñ hiki wada wés a nti mimañ mi likoda lipém, Yéhôva nyen a nôgôl.","En manifestant du respect pour l’autorité des anciens, nous obéissons à Jéhovah."
216,Di nti ki bet ba gwé kunde i ngii yés lipém inyule hala a yé loñge ngandak inyu yés.,Nous respectons également l’autorité parce qu’il est foncièrement de notre intérêt de le faire.
217,"Di bi léba le inyu ba maséé ikété ndap lihaa ni likoda, di nlama ti i bet ba éga bés lipém, di bak bebee i nwéhél, i tééda libak li suhulnyuu, di boñ ki biliya i hôlôs litam li mbuu.","Nous avons constaté que pour être heureux tant dans le couple que dans l’assemblée, il faut respecter l’autorité, être toujours prêt à pardonner, rester humble et manifester le fruit de l’esprit."
218,"Lelaa béba ni libak li kwéha li bi bôdôl, inyuki libak li kwéha li ntinde bés i kolba bet ba gwé kunde i ngii yés?","Comment le péché et l’imperfection sont- ils apparus et, du fait de notre nature pécheresse, pourquoi avons- nous du mal à respecter l’autorité ?"
219,Inyuki jam Abigail a mboñ li nkobla bé le a nkolba tel i nlôm kiki isañ mbai?,b) Pourquoi peut- on dire qu’Abigaïl ne s’est pas rebellée contre l’autorité légitime de son mari ?
220,Mambe manjel di gwé inyu ti bet ba gwé kunde lipém?’,"Et, finalement, de quelles manières pouvons- nous démontrer notre respect de l’autorité ? ’"
221,"Ni njel i nyen a ñunda le, a ndiihe bitelbene bi Yéhôva inyu éga lihaa, lôñni likoda.","De cette façon, elle montrera qu’elle respecte l’autorité que Jéhovah a établie dans la famille et dans l’assemblée ."
222,Di noode wan manjom ima ma nhôla bés i yi inyuki i ti bet ba gwé kunde lipém li nlet ngandak inyu yés.,Abordons rapidement deux raisons pour lesquelles il est parfois si difficile de respecter des personnes qui détiennent une autorité.
223,"Ngéda di neebe i suhus bésbomede i si bet ba gwé kunde i ngii yés ikété ndap lihaa, ikété likoda, ni i si baane, bés bobasôna di ga kôhna bisai.","Quand nous respectons l’autorité dans notre famille, l’autorité dans l’assemblée et l’autorité des représentants du gouvernement, tout le monde est gagnant ."
224,"Inyuki i béñge mut numpe, nu a ta bé sobiina woñ ni mis ma ndéñg, i yé béba?",Pourquoi est- ce mal de manifester un intérêt sexuel pour quelqu’un d’autre que son conjoint ?
225,Hala a nsômbôl bé kal le di nlama gwéhna bés ni bés ndik inyule di yé nyégsaga i boñ hala.,Cela ne veut pas dire que nous devons nous aimer les uns les autres simplement par sens du devoir.
226,Kii i mboñ ni le di lôôha ba maselna ni ntôñ wo ki wo umpe?,Mais pourquoi sommes- nous si différents des autres religions ?
227,Mi nhoñol bé to le mi nok biniigana bi Bibel iloo bôt bobasôna.,Ils ne pensent pas qu’ils peuvent comprendre les vérités de la Bible mieux que les autres.
228,"Ni mahôla ma bagwal bé, ni ma bilôk bikéé bipe mu likoda, sita yés i bi sôk i yila nsañal nu ngéda yosôna.","Grâce à l’aide de ses parents et d’autres dans la congrégation, cette jeune chrétienne a atteint son objectif de devenir pionnière permanente."
229,Me nlama añle yak minkoñ mimpe miñañ minlam mi Ane Nyambe; inyule jon me bi ôma.,"Aux autres villes aussi il me faut annoncer la bonne nouvelle du royaume de Dieu, car c’est pour cela que j’ai été envoyé ."
230,"U nla kôhna hogbe ñem inyu ngim ngéda, i ngeñ u nyéñ bana mawanda, u niglak ngim bibôlô, u tégbahaga ki ngéda i bahoma bape.","Vous pouvez trouver du répit en renforçant vos amitiés, ou en en créant d’autres, en apprenant à faire de nouvelles choses ou en vous divertissant."
231,"Jam lilam li yé le me bi boma Happy, a bé nsañal nu tôbôtôbô, a bak makénd kiyaga, a lôlak i loñ Kamerun.","Mais d’un autre côté, cela m’a permis de rencontrer Happy, une pionnière spéciale zélée originaire du Cameroun."
232,"Inyu ti Nwet niñ lipém, ba bé lama keñgle liboñok jo ki jo li bé le li hubus niñ i bôt bap ba libôk.","Pour honorer l’Auteur de la vie, ils devaient absolument éviter toute action ou toute négligence qui pouvait mettre la vie des autres en danger."
233,"Nano le Ruth a nyila Naômi bañga yé ngond, jon a nyiñil Ruth homa linôyôi, hala wee matééda ni lisolbene muda a nla kôs i ndap libii.","Naomi désire par conséquent procurer à Ruth, qui est devenue comme une fille pour elle, un lieu de repos , autrement dit la sécurité et la protection qu’offrent un foyer et un mari."
234,Mimbe mintén mi bipôdôl mi nhôlôs?,Quel genre de paroles renforcent nos relations avec les autres ?
235,"Kiñ mu nsiñga i kal me le: A Rôbison, Kati nu.",La voix à l’autre bout a dit : C’est Katie.
236,Imbe tik ngok i mbuu ipe u nléba ikété lisoñgol li Bibel li sonde ini?,Quelles autres perles spirituelles as- tu découvertes dans la lecture de la Bible de cette semaine ?
237,"Ndi, maliga ma yé le, hala a yé ndik eem.","Mais dans la réalité, il en va tout autrement."
